候補タイプ,定義,対象実験,例,位置づけ
近接解決策型,課題文脈と解決手段文脈の双方が比較的近い候補,実験1,U-Net,主分析
異質解決策型,課題文脈には関連があるが、対象物・材料・分野が大きく異なる候補,実験2,洗浄・除去系技術,補助分析
