候補集合,N,平均スコア,妥当候補率,◎,○,△,×
全文類似上位ベースライン,30,0.5666666666666667,0.1666666666666666,1,4,6,19
提案手法,23,1.608695652173913,0.5217391304347826,5,7,8,3
