domain,publication_number,application_number,filing_date,filing_year,family_id_simple,family_id_extended,publication_date,priority_date,title,abstract,claims,applicant_names,applicant_bvd_ids,cpc_main,cpc_others,ipc_main,ipc_others,number_of_backward_citations,backward_citations,backward_citation_types,forward_citations,current_direct_owners,is_unet,source_files
A1,AU2021101226A4,AU2021101226A,2021-03-09,2021,73895067,1034762519,2021-05-06,2020-09-29,STROKE LESION SEGMENTATION METHOD AND SYSTEM,"A method and system that improves the accuracy of segmenting a stroke lesion is disclosed. The method establishes a correlation between slices by changing a traditional U-Net model into a long short-term memory (LSTM) U-Net segmentation network model by replacing some convolutional units in the traditional U-Net model with convolutional LSTM units. In a data preprocessing stage, the present disclosure performs ordered rotating slicing operations on three-dimensional (3D) image data of a stroke to generate first and second two-dimensional (2D) forward and reverse ordered rotating slice sequences, and trains a segmentation model by the first ordered rotating slice sequence to generate forward and reverse LSTM U-Net segmentation network models. The method segments the second ordered rotating slice sequence by the forward and reverse LSTM U-Net segmentation models to obtain forward and reverse lesion segmentation result sequences. The method also fuses the data. [FIG. 2] Normal line Sagittal plane (t-1) LSTM U-Net (t-1) (t) LSTM U-Net (t) (t+n) LSTM U-Net (t+1)","CLAIMS: 1. A stroke lesion segmentation method, comprising: acquiring a training sample pair, wherein the training sample pair comprises a first 5 ordered rotating slice sequence and a lesion segmentation result sequence corresponding to the first ordered rotating slice sequence; the first ordered rotating slice sequence is a two-dimensional (2D) ordered rotating slice sequence of a three-dimensional (3D) image data set with a lesion labeled; acquiring a long short-term memory (LSTM) U-Net segmentation network model to 10 be trained, wherein the LSTM U-Net segmentation network model is generated by replacing first two stages of 3 χ 3 convolutional units in a U-Net model with 3 χ 3 convolutional LSTM units; generating a forward training set by arranging the first ordered rotating slice sequence in a forward order and combining the lesion segmentation result sequence corresponding 15 to the first ordered rotating slice sequence; generating a reverse training set by arranging the first ordered rotating slice sequence in a reverse order and combining the lesion segmentation result sequence corresponding to the first ordered rotating slice sequence; determining a forward LSTM U-Net segmentation network model by training the 20 LSTM U-Net segmentation network model to be trained through the forward training set; determining a reverse LSTM U-Net segmentation network model by training the LSTM U-Net segmentation network model to be trained through the reverse training set; acquiring a 2D ordered rotating slice sequence as a second ordered rotating slice sequence from stroke 3D image data to be segmented; 25 determining a forward segmentation result sequence by arranging the second ordered rotating slice sequence in a forward order and inputting into the forward LSTM U-Net segmentation network model; determining a reverse segmentation result sequence by arranging the second ordered rotating slice sequence in a reverse order and inputting into the reverse LSTM U-Net 30 segmentation network model; determining a forward 3D lesion segmentation result by performing 3D reconstruction on the forward segmentation result sequence, and determining a reverse 2021101226 09 Mar 2021 3D lesion segmentation result by performing 3D reconstruction on the reverse segmentation result sequence; and determining a final lesion segmentation result by fusing the forward 3D lesion segmentation result and the reverse 3D lesion segmentation result through a soft voting 5 method. 2. The stroke lesion segmentation method according to claim 1, wherein before acquiring a training sample pair, the method further comprises: acquiring a stroke 3D image data set with a lesion labeled; 10 acquiring a central normal line on a sagittal plane of the stroke 3D image data set with a lesion labeled; and slicing the 3D image data set by using a slicing plane that passes the central normal line and at a specific angle to the transverse plane to obtain a first ordered rotating slice sequence. 3. The stroke lesion segmentation method according to claim 2, wherein the specific angle is 0° to 180°. 4. The stroke lesion segmentation method according to any one of claims 1 to 3, wherein 20 in the first ordered rotating slice sequence and the second ordered rotating slice sequence, a slice resolution is greater than or equal to 128 x 128 pixels, a slice thickness is less than 2 mm, and the number of slices is greater than 128; wherein the 3D image data set with a lesion labeled and the stroke 3D image data to be segmented each can be a magnetic resonance (MRI) image data set or a computer 25 tomography (CT) image data set; wherein the determining a forward 3D lesion segmentation result sequence by performing 3D reconstruction on the forward segmentation result sequence specifically comprises: putting 2D slices in the forward segmentation result sequence back into a 3D space 30 in order, and filling in a missing value by using a bilinear interpolation method to obtain a forward 3D lesion segmentation result; and the determining a reverse 3D lesion segmentation result sequence by performing 3D reconstruction on the reverse segmentation result sequence specifically comprises: 2021101226 09 Mar 2021 putting 2D slices in the reverse segmentation result sequence back into a 3D space in order, and filling in a missing value by using a bilinear interpolation method to obtain a reverse 3D lesion segmentation result; wherein the determining a final 3D lesion segmentation result by fusing the forward 5 3D lesion segmentation result and the reverse 3D lesion segmentation result through a soft voting method specifically comprises: adding probability values of each voxel position in the forward 3D lesion segmentation result and the reverse 3D lesion segmentation result, and calculating a mean value; 10 acquiring a set threshold; determining whether the mean value is smaller than the threshold to obtain a determination result; determining that no lesion exists if the determination result indicates that the mean value is smaller than the threshold, and determining that a lesion exists if the determination result indicates that the mean value is greater than or equal to the 15 threshold; and determining a final lesion segmentation result according to the determination result, wherein the lesion segmentation result is a binary 3D result of 0 or 1. 5. A stroke lesion segmentation system, comprising: 20 a training sample pair acquisition module, for acquiring a training sample pair, wherein the training sample pair comprises a first ordered rotating slice sequence and a lesion segmentation result sequence corresponding to the first ordered rotating slice sequence; the first ordered rotating slice sequence is a 2D ordered rotating slice sequence of a 3D image data set with a lesion labeled; 25 a network model acquisition module, for acquiring an LSTM U-Net segmentation network model to be trained, wherein the LSTM U-Net segmentation network model is generated by replacing first two stages of 3 χ 3 convolutional units in a U-Net model with 3 χ 3 convolutional LSTM units; a forward training set generation module, for generating a forward training set by 30 arranging the first ordered rotating slice sequence in a forward order and combining the lesion segmentation result sequence corresponding to the first ordered rotating slice sequence; a reverse training set generation module, for generating a reverse training set by 2021101226 09 Mar 2021 arranging the first ordered rotating slice sequence in a reverse order and combining the lesion segmentation result sequence corresponding to the first ordered rotating slice sequence; a forward network model determination module, for determining a forward LSTM 5 U-Net segmentation network model by training the LSTM U-Net segmentation network model to be trained through the forward training set; a reverse network model determination module, for determining a reverse LSTM UNet segmentation network model by training the LSTM U-Net segmentation network model to be trained through the reverse training set; 10 a slice sequence acquisition module, for acquiring a 2D ordered rotating slice sequence as a second ordered rotating slice sequence from stroke 3D image data to be segmented; a forward segmentation result sequence determination module, for determining a forward segmentation result sequence by arranging the second ordered rotating slice 15 sequence in a forward order and inputting into the forward LSTM U-Net segmentation network model; a reverse segmentation result sequence determination module, for determining a reverse segmentation result sequence by arranging the second ordered rotating slice sequence in a reverse order and inputting into the reverse LSTM U-Net segmentation 20 network model; a 3D result determination module, for determining a forward 3D lesion segmentation result by performing 3D reconstruction on the forward segmentation result sequence, and determining a reverse 3D lesion segmentation result by performing 3D reconstruction on the reverse segmentation result sequence; and 25 a lesion segmentation result determination module, for determining a final lesion segmentation result by fusing the forward 3D lesion segmentation result and the reverse 3D lesion segmentation result through a soft voting method. 6. The stroke lesion segmentation system according to claim 5, further comprising: 30 a 3D image data set acquisition module, for acquiring a stroke 3D image data set with a lesion labeled; a central normal line acquisition module, for acquiring a central normal line on a sagittal plane of the stroke 3D image data set with a lesion labeled; 2021101226 09 Mar 2021 a slicing module, for taking the central normal line as an axis and taking a specific rotation angle as a stride, and slicing the 3D image data set by using a slicing plane that passes the central normal line and at a specific angle to the transverse plane to obtain a first ordered rotating slice sequence, wherein the specific angle is 0° to 180°; 5 wherein the lesion segmentation result determination module specifically comprises: a mean value determination unit, for adding probability values of each voxel position in the forward lesion segmentation result sequence and the reverse lesion segmentation result sequence, and calculating a mean value; a set threshold acquisition unit, for acquiring a set threshold; 10 a determination unit, for determining whether the mean value is smaller than the threshold to obtain a determination result; determining that no lesion exists if the determination result indicates that the mean value is smaller than the threshold, and determining that a lesion exists if the determination result indicates that the mean value is greater than or equal to the threshold; and 15 a lesion segmentation result determination unit, for determining a final lesion segmentation result according to the determination result, wherein the lesion segmentation result is a binary 3D result of 0 or 1.",UNIV TAIYUAN TECHNOLOGY,CN9364806816,G06T7/0012,G06T7/136; G06T2207/10012; G06T2207/30016; G06T2207/10081; G06T2207/10088; G06T2207/20081; G06T2207/20084; G06N3/044; G06N3/045,G16H30/40,G06N3/04; G06N3/08; G06T7/00; G06T7/11; G06T11/00,0,,,,UNIV TAIYUAN TECHNOLOGY,1,A1-Core (1).xlsx
A1,AU2021107205A4,AU2021107205A,2021-08-25,2021,78958468,1142843003,2022-01-06,,DEEP LEARNING BASED SYSTEM AND METHOD FOR AUTOMATIC IDENTIFICATION OF COVID-19 REGIONS ON CT-IMAGES,"OF THE INVENTION The present invention is to detect the COVID-19 using a novel dual-branch combination network. The detection of lung infection automatically from the lung CT images affords the high potential to improve the conventional healthcare approach for dealing with COVID-19. However, CT- image-based detection of Covid-19 has confronted substantial challenges like maximum variation in the characteristics of the infection, less sensitivity, and less depth variation amidst infectious and regular tissues. Furthermore, it is complex to gather a huge amount of data in a short period. Subsequently, it is necessary to develop the automated methods for Covid-19 detection to observe the presence of disease from radiological images. To address these shortcomings, a novel dual-branch combination network for the detection of the COVID-19 is enhanced. It can attain classification at the individual level and segmentation of lesions at the same time. Also, a unique lesion attention component was designed to combine the intermediary results of segmentation. In addition, a slice probability mapping technique is introduced to study the transmission from slice to individual stage classification. The proposed technique attained maximum sensitivity, better accuracy, and good interpretability. R.T.Subhalakshmi,Dr.S.Appavu Alias Balamurugan,Dr.S.Sasikala Figures, Tables and Flow charts U-Net based Lesion segmentation segmentation Preprocessing Lesion Attention Covid CT images Classification Slice-level diagnosis Slice proba bility ma pping Dual Branch Combination Network Individual-level diagnosis Performance Analysis Figure 1.Flow of the proposed method","The method to detect the CO VID-19 using a novel dual-branch combination network is proposed, this method comprises the following 1. A system of joined segmentation and classification was proposed, which attained both the segmentation and the classification of the lesions of CO VID-19 at the same time based on the CT pictures. 2. The method as claimed in claim 1, to outline the shape of the lungs, U-net-based segmentation was initially carried out. At that point, to undergo segmentation and classification at the slice level, the suggested dual-branch combination network is utilized. And also the performance of classification is enhanced by analyzing a lesion attention component which uses the intermediary effects of bo th branches. 3. The method as claimed in claim 2, a slice probability mapping methodology and a completely associated system were embraced to get individual-stage outcomes from slice stage outcomes, adjusting our strategy to the scans of computed tomography with various counts of slices. Here the introduced strategy was very touchy to the classification of pictures with very small lesions. 4. The method as claimed in claim 1, the detection of the COVID-19 at an early stage is useful since the lesions in the beginning phase are normally unobtrusive and hard to distinguish. The proposed consolidated segmentation-classification network for the identification of COVID-19 beat ordinarily utilized methods of classification on both inside and outer approval datasets. 5. The method as claimed in claim 1 and claim 3, the suggested lesion attention module empowers the network to concentrate on contaminated points and altogether enhances the discovery of little lesions for the identification of COVID-19 at the beginning stage. In addition, the attention maps help the distinguishing proof of lesion position, in this way enhancing the understanding of classification.",R T SUBHALAKSHMI; S SASIKALA; SUBRAMANIAN APPAVU ALIAS BALAMURUGAN,,G06T7/0012,G06N3/084; G06T2207/10081; G06T2207/30061,G06T7/00,G06K7/00; G06K9/00; G06N3/02; G06N3/08,0,,,CN117036984A; CN117036984B,R T SUBHALAKSHMI; S SASIKALA; SUBRAMANIAN APPAVU ALIAS BALAMURUGAN,1,A1-Core (1).xlsx
A1,AU2021403021A1,AU2021403021A,2021-12-15,2021,82058266,1147020469,2023-07-06,2020-12-15,SYSTEMS AND METHODS FOR IDENTIFYING CANCER IN PETS,"In one embodiment, the disclosure provides a method comprising: receiving an image of a biopsy slide; executing first programmed instructions to input the image to a first trained machine learning model programmed as a cancer classifier, thereby outputting a classification; determining, based on the classification, that the image should be further processed; executing a tissue detect ion algorithm on the image of the biopsy slide, thereby outputting a first set of coordinates; executing second programmed instructions to input the image of the biopsy slide and the first set of coordinates to a second trained machine learning model programmed for image segmentation, thereby outputting a binary pixel mask; executing third programmed instructions to generate an enhanced pixel mask using the binary pixel mask; and digitally storing, in computer memory, a second set of coordinates indicated by the enhanced pixel mask, in one embodiment, a 10-high-power field can be generated and digitally stored.","WO 2022/132966 PCT/US2021/063606 CLAIMS What is claimed is; 1. A computer-implemented method, comprising' receiving an image of a biopsy slide at a computing device; executing first programmed instructions io input the image of the biopsy slide to a first trained machine learning model programmed as a cancer classifier, thereby outputting a classification of the image of the biopsy slide; determining, based on the classification, that the image of the biopsy slide should be further processed; executing a tissue detection algorithm on the image of the biopsy slide, thereby outputting a first set of coordinates; executing second programmed instructions to input the image of the biopsy slide and the first set of coordinates to a second trained machine learning model programmed for image segmentation, thereby outputting a binary pixel mask; executing third programmed instructions to generate an enhanced pixel mask using the binary pixel mask; and digitally storing, in computer memory, a second set of coordinates indicated by the enhanced pixel mask. 2. The computer-implemented method of Claim 1, further comprising: executing fourth programmed instructions implementing a KD-tree based algorithm to output a field with the most mitotic figures based on the enhanced pixel mask; and digitally storing the field in the computer memory in a file with the second set of coordinates. 3. The computer-implemented method of Claim 2, wherein the field comprises a 10-high-power field. 4. The computer-implemented method of Claim 2, further comprising displaying the field on a device display. WO 2022/132966 PCT/US2021/063606 5. The computer-implemented method of Claim 1, wherein the tissue detection algorithm comprises performing coarse tissue segmentation on a low-resolution, view of the slide image of the biopsy. 6. The computer-implemented method of Claim 1, the third programmed instructions being programmed to: cause determining, for every connected set of coordinates of the binary pixel mask indicating a mitotic figure, a corresponding rotated rectangle, each rotated rectangle being of a minimum area enclosing an approximated contour of the mitotic figure: and cause generating the enhanced pixel mask to include only coordinates associated with rotated rectangles having a respective width greater than a threshold width digitally stored in the computer memory. 7. The computer-implemented method of Claim 6, the third programmed instructions being further programmed to cause dilating the binary pixel mask with a number ofrepeated dilation iterations proportional to a kernel size and a mitotic cells interpolar distance stored in the computer memory. 8. The computer-implemented method of Claim I, wherein the second trained machine learning model comprises a convolutional neural network with skip-connections that was trained to minimize at least one of a balanced-cross-entropy (BCE) soft-DiceLoss function or a soft-Dice-Loss function. 9. The computer-implemented method of Claim 8. wherein the second trained machine learning model further comprises a U-Net model that was pre-trained with ImaseNet. b 10. The computer-implemented method of Claim L wherein the image of the biopsy slide comprises an image of a biopsy of at least one of an animal or a pet, and wherein the image of the biopsy was generated using a medical imaging device. II. The computer-implemented method of Claim 1, wherein the image of the biopsy slide comprises a. whole slide image (WS1). WO 2022/132966 PCT/US2021/063606 12. The computer-implemented method of Claim 1, further comprising di splaying an output image comprising a representation of the image of the biopsy slide and the classification. 13. Hie computer-implemented method of Claim 1, further comprising programmatically pre-processing the image of the biopsy slide, wherein said preprocessing comprises determining that image of the biopsy slide is clear enough for further processing. 14. The computer-implemented method of Claim 13, wherein the image of the biopsy slide comprises a whole slide image, and wherein the pre-processing comprises at least one of determining that the resolution of the image of the biopsy slide exceeds a threshold resolution stored in the comp uter memory or determining that a number of slide images comprised by the whole slide image exceeds a threshold number stored in the computer memory. 15. The computer -implemented method of Claim i, further comprising; programmatically calculating a mitotic figure count using the second set of coordinates; and digitally storing the mitotic figure count in the computer memory. 16. The computer-implemented method of Claim 1, wherein the computing device comprises a server computer, and wherein the image of the biopsy slide is received from a client computing device. 17. The computer-implemented method of Claim 16, further comprising; executing fourth programmed instructions implementing a KD-tree based algorithm to output a field with the most mitotic figures based on the enhanced pixel mask; and digitally storing the field in the computer memory in a file with the second set of coordinates. WO 2022/132966 PCT/US2021/063606 18. The computer-implemented method of Claim 17, wherein the file comprises an extensible markup language (XML) file. 19. The computer-implemented method of Claim 18, further comprising transmitting, from the server computer to the client computing device, information about the biopsy slide image as annotations that are rendered from the extensible markup language (XML) file. 20. The computer-implemented method of Claim 1, further comprising executi ng the method using a distributed, decentralized, and asynchronous architecture comprising scalable blocks, the scalable blocks comprising management programs, and the management programs being implemented using docker containers. 21. A system comprising: one or more processors; and one or more computer-readable non-fransitory storage media coupled to one or more of the processors and comprising instructions operable when executed by one or more of the processors to cause the system to perform operations comprising: receiving an image of a biopsy slide: executing first programmed instructions to input the image of the biopsy slide to a first trained machine learning model programmed as a cancer classifier, thereby outputting a classification of the image of the biopsy slide; determining, based on the classification, that the image of the biopsy s lide should be further processed; executing a tissue detection algorithm on the image of the biopsy slide, thereby outputting a first set of coordinates: executing second programmed instructions to input the image of the biopsy sl ide and the first set of coordinates to a second trained machine learning model programmed for image segmentation, thereby outputting a binary pixel mask: executing third programmed instructions to generate an enhanced pixel mask using the binary pixel mask; and digitally storing, i n computer memory, a second set of coordinates indicated by the enhanced pixel mask. WO 2022/132966 PCT/US2021/063606 22. The system of Claim 21, the instructions further operable when executed to cause performance of: executing fourth programmed instructions implementing a KD-tree based algorithm to output a field with the most mitotic figures based on the enhanced pixel mask; and digitally storing the field in the computer memory in a file with the second set of coordinates. 23 . The system of Claim 22, wherein the field, comprises a 10-high-power field.. 24. The system of Claim 22, the instructions further operable when executed to cause performance of displaying the field on a device display. 25. The system of Claim 21, wherein the tissue detection algorithm comprises performing coarse tissue segmentation on a low-resolution view of the slide image of the biopsy. 26. The system of Claim 21, the third programmed instructions being programmed to: cause determin ing, for every connected set of coordinates of the binary’ pixel mask indicating a mitotic figure, a corresponding rotated rectangle, each rotated rectangle being of a minimum area enclosing an approximated contour of the mitotic figure; and cause generating the enhanced pixel mask to include only coordinates associated with rotated rectangles having a respective width greater than a threshold width digitally stored in the computer memory. 27. The system of Claim 26, the third programmed instructions being further programmed to cause dilating the binary pixel mask with a number of repeated dilation iterations proportional to a kernel size and a mitotic cells inter-polar distance stored in the computer m emory. WO 2022/132966 PCT/US2021/063606 28. The system of Claim 21, wherein the second trained machine learning model comprises a convolutional neural network with skip-connections that was trained to minimize at least one of a balanced-cross-entropy (BCE) soft-Dice-Loss function or a softDice-Loss function. 29. The system of Claim 28, wherein the second trained machine learning model further comprises a U-Net model that was pre-trained with ImageNet. 30. The system of Claim 21, wherein the image of the biopsy slide comprises an image of a biopsy of at least one of an an imal or a pet, and wherein the image of the biopsy was generated using a medical imaging device. 31. The system of Claim 21, wherein the image of the biopsy slide comprises a whole slide image (WSI). 32. The system of Claim 21, further comprising displaying an output image comprising a representation of the image of the biopsy slide and the classification. 33. The system of Claim 21, the instructions further operable when executed to cause performance of programmatically pre-processing foe image of the biopsy slide, wherein said pre-processing comprises determining that image of the biopsy slide is clear enough for further processing. 34. The system of Claim 33, wherein foe image of the biopsy slide comprises a whole slide image, and wherein the pre-processing comprises at least one of determining that foe resolution of the image of the biopsy slide exceeds a threshold resolution stored in the computer memory' or determining that a number of slide images comprised by the whole slide image exceeds a threshold number stored in the computer memory. 35. The system of Claim 21, the instructions further operable when executed to cause performance of: programmatically calculating a mitotic figure count using the second set of coordinates: and WO 2022/132966 PCT/US2021/063606 digitally storing the mitotic figure count in the computer memory. 36. The system of Claim 21, wherei n the image of the biopsy slide is received from a client computing device. 37. The system of Claim 36, the instructions further operable when executed to cause performance of: executing fourth programmed instructions implementing a KD-tree based algorithm to output a field with the most mitotic figures based on the enhanced pixel mask; and digitally storing the field in the computer memory in a file with the second set of coordinates. 38. The system of Claim 37, wherein the file comprises an extensible markup language (XML) file. 39. The system of Claim 38, the instructions further operable when executed to cause performance of transmitting, to the client computing device, information about the biopsy slide image as annotations that are rendered from the extensible markup language (XML) file. 40. The system of Claim 21, further comprising executing the method using a distributed, decentralized, and asynchronous architecture comprising scalable blocks, the scalable blocks comprising management programs, and the management programs being implemented using docker containers.",MARS INC,US132070844L,G06N3/08,G06T2207/30024; G06T2207/30096; G06T2207/20084; G06T2207/10056; G06T7/0012; G06V10/82; G06V20/698; G06N3/044; G06N3/045; G06N3/0455; G06N3/096; G06N3/0464; G06N3/0475; G06N3/09; G06N3/094; G06V20/695; G06N20/00; G06V2201/03; G06T7/11; G06T5/30; G06T2207/20081,G06N3/045,G01N33/00; G06N3/08; G06T7/00; G06V10/82,0,,,,MARS INC,0,A1-Core (1).xlsx
